Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
01004,Ambérieu-en-Bugey,LDVD,M,FABRE,Daniel,PAROLE  AUX AMBARROIS,27,0.0,7.0,2678.0,32.67,61.31,yes
01004,Ambérieu-en-Bugey,LDVG,F,PIDOUX,Catherine,VIVONS NOTRE VILLE,3,0.0,0.0,741.0,9.04,16.96,no
01004,Ambérieu-en-Bugey,LDVG,F,EXPOSITO,Josiane,AMBERIEU AMBITION,3,0.0,1.0,949.0,11.58,21.73,no
01007,Ambronay,LDVD,M,FOURNIER,Gabriel,AMBRONAY Demain,1,0.0,0.0,153.0,8.64,11.73,no
01007,Ambronay,LDVG,F,LEVRAT,Gisèle,AMBRONAY POUR TOUS,14,0.0,2.0,610.0,34.46,46.78,yes
01007,Ambronay,LDVD,M,MANCUSO,Vincent,AGIR ENSEMBLE POUR L'AVENIR D'AMBRONAY,4,0.0,0.0,541.0,30.56,41.49,no
01034,Belley,LDVD,M,JIMENEZ,Christian,BELLEY NOUVEL HORIZON 2014,22,0.0,14.0,2029.0,35.72,51.17,yes
01034,Belley,LSOC,M,FOGNINI,Jean-Marc,CONTINUONS BELLEY ENSEMBLE,7,0.0,4.0,1936.0,34.08,48.83,no
01160,Ferney-Voltaire,LDVG,M,MEYLAN,François,FERNEY AVENIR 2014,7,0.0,1.0,1056.0,25.95,49.55,no
01160,Ferney-Voltaire,LDVD,M,RAPHOZ,Daniel,FERNEY-VOLTAIRE VALEURS COMMUNES,22,0.0,4.0,1075.0,26.41,50.45,yes
01185,Hauteville-Lompnes,LDVG,F,JOLY,Fabienne,VALORISONS ENSEMBLE NOS RICHESSES,5,0.0,1.0,515.0,22.87,38.72,no
01185,Hauteville-Lompnes,LUDI,M,ARGENTI,Bernard,OSONS L'AVENIR,22,0.0,6.0,815.0,36.19,61.28,yes
01194,Jassans-Riottier,LDIV,M,REVERCHON,Jean-Pierre,UN SOUFFLE NOUVEAU POUR JASSANS,23,0.0,3.0,1538.0,38.78,56.77,yes
01194,Jassans-Riottier,LDVD,F,FOURNET,Jacqueline,Agissons ensemble pour demain,6,0.0,1.0,1171.0,29.53,43.23,no
01249,Miribel,LDVD,M,GAITET,Jean-Pierre,UN RENOUVEAU POUR MIRIBEL,7,0.0,3.0,1679.0,25.73,45.61,no
01249,Miribel,LDVG,F,VIRICEL,Sylvie,MIRIBEL COMME VOUS L'AIMEZ,22,0.0,10.0,1771.0,27.14,48.11,yes
01249,Miribel,LDVG,M,GIRON,André,L'EVEIL DE MIRIBEL,0,0.0,0.0,231.0,3.54,6.28,no
01262,Montluel,LDVD,M,DAUBIE,Romain,VIVONS MONTLUEL ENSEMBLE,23,0.0,8.0,1577.0,35.9,56.58,yes
01262,Montluel,LSOC,M,BERNARD,Jacky,"Osons Montluel, ville d'avenir",6,0.0,2.0,1210.0,27.54,43.42,no
01263,Montmerle-sur-Saône,LDVD,M,CAMPION,Alain,MONTMERLE HORIZON 2020,6,0.0,2.0,860.0,32.11,49.74,no
01263,Montmerle-sur-Saône,LDVD,M,LAMURE,Raphaël,MONTMERLE AVEC VOUS,21,0.0,7.0,869.0,32.45,50.26,yes
01290,Pérouges,LDIV,M,BOINON,Philippe,"PEROUGES, L'EXPERIENCE AUTREMENT",2,0.0,0.0,219.0,22.86,32.21,no
