Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
01034,Belley,4.0,LDVD,M,LAHUERTA,Dimitri,AGIR POUR BELLEY ET BUGEY SUD,23.0,0.0,12.0,1525.0,26.49,54.99,yes
01034,Belley,1.0,LDIV,M,FOGNINI,Jean-Marc,REUNIR POUR BELLEY AVEC JEAN MARC FOGNINI,6.0,0.0,4.0,1248.0,21.68,45.01,no
01160,Ferney-Voltaire,2.0,LDVD,M,RAPHOZ,Daniel,Ferney-Voltaire Valeurs Communes,23.0,0.0,5.0,747.0,19.67,50.4,yes
01160,Ferney-Voltaire,1.0,LDVC,M,MEYLAN,François,La Force de l'Union,3.0,0.0,0.0,366.0,9.64,24.7,no
01160,Ferney-Voltaire,4.0,LDIV,M,KASTLER,Jean-Loup,FERNEY EN GRAND,3.0,0.0,0.0,369.0,9.72,24.9,no
01194,Jassans-Riottier,1.0,LDVD,M,COLOMBIER,Jean-François,UN NOUVEL ÉLAN POUR JASSANS,4.0,0.0,0.0,415.0,9.52,25.29,no
01194,Jassans-Riottier,3.0,LDIV,M,ANDREO,Christian,JASSANS AUTREMENT,1.0,0.0,0.0,166.0,3.81,10.12,no
01194,Jassans-Riottier,4.0,LDVD,M,REVERCHON,Jean-Pierre,JASSANS LA FORCE D'AGIR ENSEMBLE,23.0,0.0,5.0,856.0,19.65,52.16,yes
01194,Jassans-Riottier,2.0,LDVC,F,SEGURA,Sylvie,JASSANS C'est Vous - C'est Nous,1.0,0.0,0.0,204.0,4.68,12.43,no
01249,Miribel,3.0,LDVG,F,VIRICEL,Sylvie,Ma ville avance,5.0,0.0,2.0,1038.0,15.16,37.86,no
01249,Miribel,1.0,LDVD,M,GAITET,Jean-Pierre,"Miribel pour tous, Miribel à tous",23.0,0.0,11.0,1391.0,20.32,50.73,yes
01249,Miribel,2.0,LREM,F,DESCOURS,Nathalie,OXYGENE 2020,1.0,0.0,0.0,313.0,4.57,11.42,no
01354,Saint-Genis-Pouilly,2.0,LDVG,M,BERTRAND,Hubert,"SAINT-GENIS-POUILLY, C'EST VOUS",25.0,0.0,5.0,867.0,17.29,46.12,yes
01354,Saint-Genis-Pouilly,1.0,LDVD,F,CHENU-DURAFOUR,Michelle,AGIR ENSEMBLE,6.0,0.0,1.0,734.0,14.64,39.04,no
01354,Saint-Genis-Pouilly,3.0,LECO,F,MARCHAND,Anne-Sophie,SAINT GENIS A COEUR,2.0,0.0,0.0,279.0,5.56,14.84,no
01370,Saint-Laurent-sur-Saône,1.0,LNC,M,DOUSSOT,Jacques,AIMER SAINT LAURENT,15.0,0.0,1.0,266.0,27.48,56.48,yes
01370,Saint-Laurent-sur-Saône,2.0,LNC,M,GARCIA-PIQUERAS,Emmanuel,SAINT LAURENT AUTREMENT,4.0,0.0,0.0,205.0,21.18,43.52,no
01378,Saint-Maurice-de-Gourdans,1.0,LNC,M,VENET,Fabrice,Pour Saint Maurice : Engagement Ecoute Expérience,17.0,0.0,2.0,502.0,22.48,46.22,yes
01378,Saint-Maurice-de-Gourdans,2.0,LNC,F,SALMON,Samuèle,FIERS D'ETRE SAINT-MAURIOTS,1.0,0.0,0.0,99.0,4.43,9.12,no
01378,Saint-Maurice-de-Gourdans,3.0,LNC,M,VENÇON,Yves,AMBITIONS ET RAISON POUR SAINT MAURICE,5.0,0.0,0.0,485.0,21.72,44.66,no
01389,Saint-Trivier-sur-Moignans,1.0,LNC,M,LANIER,Marcel,"Avec vous, CONTINUONS !",15.0,0.0,2.0,345.0,25.54,55.11,yes
