CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01001;322;819;23970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01002;113;263;23640;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01004;6711;15040;20510;56;18;21;23;21;16;10;s;6;28;70,1;63,4;3,1;3,6;25,6;12,3;7,7;2,8;3,1;1,8;-15,7;11080;35230;3,2
01005;720;1823;24050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01006;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01007;1160;2853;23380;63;s;s;s;s;s;s;s;s;s;76,9;71,9;2,2;2,8;26;7,4;4,9;2,4;1,6;0,9;-15,2;14360;36840;2,6
01008;328;787;25450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01009;149;343;23790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01010;452;1100;23770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01011;146;387;24450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01012;140;317;21070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01013;68;133;19900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01014;1347;3473;21460;58;11;s;s;s;s;s;s;s;22;70,4;65;3,3;2,1;30,5;10,6;5,1;2,5;1,7;0,9;-16,6;12770;36260;2,8
01015;306;691;22700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01016;175;469;21840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01017;199;417;20120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01019;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01021;547;1409;24810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01022;568;1179;20690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01023;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01024;1353;3377;22820;63;7;s;s;s;s;s;s;s;s;78,9;72,1;2,2;4,6;25,7;6,8;4,7;2,5;1,4;0,8;-16,1;14620;35420;2,4
01025;1584;4162;22970;59;6;s;s;s;s;s;s;s;s;78,2;71;1,9;5,3;23,9;8,9;4,5;2,5;1,4;0,6;-15,5;14600;35580;2,4
01026;419;915;21060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01027;710;1980;24250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01028;214;523;22560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01029;255;584;20780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01030;362;845;22990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01031;1559;3474;19570;53;20;s;s;27;s;s;s;s;32;66,5;61,1;3,7;1,7;31,7;9,1;7,6;2,8;3,1;1,7;-14,9;10820;34350;3,2
01032;1189;3226;21980;62;7;s;s;s;s;s;s;s;s;80,5;74,6;3,1;2,8;22,7;6,2;5,8;3,5;1,4;0,9;-15,2;13910;37560;2,7
01033;6625;15253;22440;52;16;20;18;18;16;12;s;6;27;79,6;73,8;3,5;2,3;23,3;6,5;4,9;1,9;1,9;1,1;-14,3;10830;46240;4,3
01034;4099;8865;20030;52;17;s;25;22;13;14;s;6;28;64,7;57,1;3,2;4,4;33,7;8,8;7,9;2,7;3,5;1,7;-15,1;10990;34620;3,1
01035;142;311;24210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01036;582;1308;22890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
