COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
01034,0.0,0.0,0.0,51.17,54.99,LDVD,LDVD,0.16684864948961536,0.1891837292273975,0.02233507973778215,0.03767738418912588,0.038646707663792496,8983.0,9206.999999999987,223.99999999998727,18549.0,20030
01160,0.0,0.0,0.0,50.45,50.4,LDVD,LDVD,0.3586442789853146,0.372974764748512,0.014330485763197398,0.16045616425840742,0.13442131784524264,9336.999999999996,10612.0,1275.0000000000036,25508.3333333333,26770
01194,0.0,0.0,0.0,56.77,52.16,LDIV,LDVD,0.16615224470465229,0.1999368786492031,0.03378463394455081,0.05516092375532537,0.060754300142023036,6221.999999999985,6337.0,115.00000000001455,21018.4615384615,22840
01249,-1.0,1.0,0.0,48.11,50.73,LDVG,LDVD,0.2272430629608875,0.26592824936287,0.03868518640198251,0.09139332441387879,0.11566359537345619,9424.999999999996,10202.0,777.0000000000036,22710.6666666667,24860
03001,-1.0,1.0,0.0,42.87,57.23,LDVG,LNC,0.17043313354788764,0.2045532942393929,0.03412016069150525,0.05336795090893457,0.05174197999310107,2847.0,2899.0,52.0,20327.5,21810
04070,-1.0,1.0,0.0,46.98,32.49,LDVG,LDVC,0.1915243744238446,0.21940337696967874,0.02787900254583414,0.04649849356389768,0.04573083960697434,16304.000000000004,16863.99999999999,559.9999999999854,18928.3870967742,20390
04143,0.0,0.0,0.0,50.48,58.19,LUDI,LDVC,0.18753567161779888,0.21615985061320775,0.028624178995408867,0.06100497791859295,0.048919526619755745,5792.0,5920.0,128.0,19953.0,22120
05023,-1.0,1.0,0.0,52.72,49.0,LSOC,LUD,0.21968330095391092,0.27044706075014874,0.05076375979623782,0.03972344992998295,0.05151825382639305,12392.0,10779.999999999996,-1612.0000000000036,18886.0,20490
06010,0.0,0.0,0.0,56.68,49.28,LDVD,LNC,0.25110700702538,0.27938876883152064,0.028281761806140615,0.09893469437152846,0.09847281240816638,2998.0,2927.0,-71.0,22318.0,24550
06033,-1.0,1.0,0.0,39.5,50.34,LDVG,LDVD,0.15121541647622988,0.19191071145158123,0.04069529497535135,0.05935974291441372,0.05416310864976626,11954.999999999996,12875.000000000004,920.0000000000073,19815.5,22010
06083,0.0,0.0,0.0,44.48,55.7,LUD,LUD,0.17884328258771484,0.20020823395951642,0.021364951371801583,0.04392435390429162,0.05006653461406697,28562.999999999993,30679.00000000001,2116.000000000018,19862.0,21820
